name;age;segment;city;zip_code;state;region
Jessica Myrick;NULL;Small Business;McKeesport;15131;Pennsylvania;East
Matt Collister;NULL;Home Office;Bowie;20715;Maryland;East
Elizabeth Moffitt;NULL;Consumer;Montebello;90640;California;West
Alan Schoenberger;NULL;Corporate;Napa;94559;California;West
Larry Tron;NULL;Home Office;Draper;84020;Utah;West
Patrick Jones;NULL;Home Office;Phenix City;36869;Alabama;South
Ann Steele;NULL;Corporate;Layton;84041;Utah;West
Bill Donatelli;NULL;Corporate;Kearney;68847;Nebraska;Central
Andy Reiter;NULL;Corporate;Baton Rouge;70802;Louisiana;South
Dave Hallsten;NULL;Home Office;Bryan;77803;Texas;Central
Tamara Dahlen;NULL;Corporate;Pharr;78577;Texas;Central
Marina Lichtenstein;NULL;Corporate;Dubuque;52001;Iowa;Central
Valerie Dominguez;NULL;Corporate;Ormond Beach;32174;Florida;South
Darren Budd;NULL;Consumer;Bedford;76021;Texas;Central
Robert Waldorf;NULL;Home Office;Monroe;71203;Louisiana;South
Susan Vittorini;NULL;Home Office;Mount Prospect;60056;Illinois;Central
Matt Collins;NULL;Consumer;Fort Dodge;50501;Iowa;Central
Corey Roper;NULL;Small Business;Bristol;6010;Connecticut;East
Julia West;NULL;Home Office;Galesburg;61401;Illinois;Central
Muhammed Yedwab;NULL;Consumer;Petersburg;23805;Virginia;South
Craig Leslie;NULL;Consumer;Hilton Head Island;29915;South Carolina;South
Tracy Collins;NULL;Consumer;Herndon;20170;Virginia;South
Julia Barnett;NULL;Home Office;San Clemente;92672;California;West
Maribeth Schnelling;NULL;Corporate;Fairfax;20151;Virginia;South
Chloris Kastensmidt;NULL;Consumer;Las Vegas;89115;Nevada;West
Jasper Cacioppo;NULL;Home Office;Franklin Square;11010;New York;East
Pauline Chand;NULL;Small Business;Norman;73071;Oklahoma;Central
George Ashbrook;NULL;Consumer;Lubbock;79424;Texas;Central
Benjamin Venier;NULL;Small Business;Fresno;93727;California;West
Julie Kriz;NULL;Corporate;Brunswick;4011;Maine;East
Sandra Flanagan;NULL;Home Office;Garfield Heights;44125;Ohio;East
Luke Schmidt;NULL;Home Office;Myrtle Beach;29577;South Carolina;South
Mark Haberlin;NULL;Small Business;Pasadena;91104;California;West
Cynthia Voltz;NULL;Corporate;Gilroy;95020;California;West
Yana Sorensen;NULL;Corporate;Plainfield;7060;New Jersey;East
Mark Haberlin;NULL;Small Business;Augusta;4330;Maine;East
Olvera Toch;NULL;Home Office;Madison;53711;Wisconsin;Central
Ann Steele;NULL;Corporate;Lehi;84043;Utah;West
