order_id;priority;quantity;unit_price;sales;shipping_cost;discount;profit;date;ship_date;customer_name;city;zip_code;state;region
28774;High;32;5.98;180.36;4.69;0.1;-111.8;2012-01-01;2012-01-02;Jessica Myrick;McKeesport;15131;Pennsylvania;East
13729;Not Specified;9;95.99;872.48;35.0;0.08;-342.91;2012-01-01;2012-01-03;Matt Collister;Bowie;20715;Maryland;East
37537;Low;4;291.73;1239.06;48.8;0.0;-193.08;2012-01-02;2012-01-02;Alan Schoenberger;Napa;94559;California;West
44069;Critical;43;15.04;614.8;1.97;0.08;247.79;2012-01-02;2012-01-02;Elizabeth Moffitt;Montebello;90640;California;West
37537;Low;43;100.98;4083.19;45.0;0.07;-1049.85;2012-01-02;2012-01-04;Alan Schoenberger;Napa;94559;California;West
44069;Critical;16;9.11;137.63;2.15;0.09;26.71;2012-01-02;2012-01-04;Elizabeth Moffitt;Montebello;90640;California;West
9285;Critical;3;40.98;124.81;2.99;0.06;-11.937;2012-01-02;2012-01-04;David Philippe;Prior Lake;55372;Minnesota;Central
37537;Low;32;155.06;4902.38;7.07;0.05;1438.49;2012-01-02;2012-01-09;Alan Schoenberger;Napa;94559;California;West
40354;High;4;212.6;698.0;52.2;0.09;-93.16;2012-01-03;2012-01-04;Patrick Jones;Phenix City;36869;Alabama;South
9762;High;12;20.98;262.76;21.2;0.05;-146.05;2012-01-03;2012-01-04;Larry Tron;Draper;84020;Utah;West
40354;High;29;5.58;172.51;2.99;0.03;12.5545;2012-01-03;2012-01-04;Patrick Jones;Phenix City;36869;Alabama;South
7909;High;29;4.26;122.23;1.2;0.03;24.55;2012-01-03;2012-01-04;Alex Russell;Lake Oswego;97035;Oregon;West
30016;Critical;15;5.28;85.56;5.66;0.03;-41.58;2012-01-03;2012-01-05;Bill Donatelli;Kearney;68847;Nebraska;Central
11972;Not Specified;4;213.45;896.49;14.7;0.0;-452.2695;2012-01-03;2012-01-05;Ann Steele;Layton;84041;Utah;West
9637;Low;12;43.22;522.49;16.71;0.08;-236.43;2012-01-03;2012-01-05;Andy Reiter;Baton Rouge;70802;Louisiana;South
30016;Critical;8;110.99;754.6555;2.5;0.01;-212.553;2012-01-03;2012-01-06;Bill Donatelli;Kearney;68847;Nebraska;Central
9637;Low;12;10.14;123.76;2.27;0.04;32.44;2012-01-03;2012-01-07;Andy Reiter;Baton Rouge;70802;Louisiana;South
9637;Low;49;574.74;28359.4;24.49;0.05;14440.39;2012-01-03;2012-01-10;Andy Reiter;Baton Rouge;70802;Louisiana;South
49730;High;3;350.98;1039.56;30.0;0.06;-394.69;2012-01-04;2012-01-05;Dave Hallsten;Bryan;77803;Texas;Central
8710;Critical;17;3.36;63.34;6.27;0.03;-76.015;2012-01-04;2012-01-05;Tamara Dahlen;Pharr;78577;Texas;Central
8710;Critical;42;3.71;151.35;1.93;0.07;8.33;2012-01-04;2012-01-06;Tamara Dahlen;Pharr;78577;Texas;Central
57253;Critical;48;279.48;12635.75;35.0;0.07;-335.24;2012-01-05;2012-01-05;Darren Budd;Bedford;76021;Texas;Central
57253;Critical;25;125.99;2750.107;5.26;0.04;667.449;2012-01-05;2012-01-05;Darren Budd;Bedford;76021;Texas;Central
32418;Not Specified;5;243.98;1244.19;43.32;0.08;-131.31;2012-01-05;2012-01-06;Marina Lichtenstein;Dubuque;52001;Iowa;Central
57253;Critical;49;4.91;240.3;5.68;0.08;-139.15575;2012-01-05;2012-01-06;Darren Budd;Bedford;76021;Texas;Central
57253;Critical;43;1.81;78.08;0.75;0.08;1.74;2012-01-05;2012-01-06;Darren Budd;Bedford;76021;Texas;Central
28451;Critical;41;209.84;8958.46;21.21;0.02;2593.14;2012-01-05;2012-01-06;Pauline Chand;Norman;73071;Oklahoma;Central
25601;Medium;43;5.98;257.41;4.69;0.09;-131.08;2012-01-05;2012-01-06;Valerie Dominguez;Ormond Beach;32174;Florida;South
290;Not Specified;24;7.64;188.73;5.83;0.05;-32.48;2012-01-05;2012-01-06;Dorris Love;Deer Park;11729;New York;East
1028;High;6;28.48;165.75;1.99;0.03;-28.46;2012-01-05;2012-01-06;Matt Collins;Fort Dodge;50501;Iowa;Central
57253;Critical;29;20.98;653.54;53.03;0.06;-1358.9;2012-01-05;2012-01-07;Darren Budd;Bedford;76021;Texas;Central
28451;Critical;21;194.3;4201.08;11.54;0.01;1162.76;2012-01-05;2012-01-07;Pauline Chand;Norman;73071;Oklahoma;Central
